ID,Prediction
98190,1
107961,0
129503,0
92408,0
117611,0
86751,0
103879,0
124926,0
127100,0
96637,0
115389,0
96557,0
122294,0
103380,0
96168,0
110053,0
94499,0
112687,0
110661,1
118396,0
129019,0
103792,0
99249,0
114293,0
125813,0
126284,0
87972,0
118840,1
115886,0
110705,0
117631,0
103943,1
126823,0
106924,1
106621,0
125052,1
115293,0
86125,1
127442,0
123169,0
123358,0
125172,1
95824,0
99601,1
108797,0
89715,0
118638,1
99624,0
102705,0
106236,0
91300,0
106916,1
111883,1
109358,0
101339,0
96515,1
103863,0
102279,1
124721,0
110912,0
94990,0
112429,0
106580,0
103819,0
100108,0
127703,1
91512,0
90482,0
125708,1
105271,0
86148,1
114606,0
114618,0
109070,1
122657,0
92415,1
107240,0
125466,0
88735,1
125050,0
124094,1
114860,1
118119,0
116824,0
88926,1
102902,0
100810,1
115906,1
98411,0
109902,1
119965,0
120778,0
125615,1
121867,0
96768,0
128638,1
107035,0
104832,1
125099,0
123059,0
111895,0
110273,1
113170,1
123719,0
123320,0
107054,0
119244,0
128086,0
99553,1
85060,1
104800,1
115401,0
95326,0
87774,1
105812,0
93607,1
95278,0
120379,0
106726,0
85038,1
92384,0
87464,1
119998,1
117006,1
92640,0
112299,1
92228,0
86023,1
93393,0
105931,0
117345,0
112379,1
93735,0
128773,0
118888,0
122045,0
105309,0
129601,0
100094,0
89385,1
101683,0
95268,0
106260,0
107610,0
112917,0
114083,0
128236,0
89598,0
118222,1
101872,0
93117,0
123452,0
122642,1
106105,0
112085,1
114473,1
86329,0
105727,0
120422,0
105306,0
96255,0
103830,0
101702,0
125952,0
114191,0
105679,0
87187,1
106322,0
118952,0
106407,0
114795,0
92878,1
122203,1
95919,1
125614,1
86108,1
113404,1
125575,0
113412,1
92558,0
109288,0
96351,1
102672,1
119346,0
104613,0
104941,0
88798,1
125942,1
127229,0
111950,1
94102,0
105610,0
109603,1
94879,0
106460,0
103996,0
113422,0
92115,0
115529,0
121187,0
125144,0
129099,0
123064,0
109598,0
129387,0
91868,0
96034,0
97349,0
126534,0
100983,0
107333,0
126754,0
112824,1
120803,0
110603,1
91193,0
111570,1
111376,0
105121,1
121877,0
119849,1
92586,0
92892,1
90921,0
103004,0
116181,0
124285,0
89326,1
103659,0
119215,0
108916,1
98564,0
85911,1
106389,0
102427,0
129466,0
128659,0
125957,0
102367,0
126586,1
108897,1
124477,1
104490,0
125629,0
124658,0
90937,0
117502,0
87533,1
102092,0
90188,1
117101,0
129235,0
110816,0
111169,1
102855,1
93231,0
119462,1
84976,1
103334,0
92724,0
89895,1
100443,1
107081,0
129749,0
100815,0
127183,0
121981,1
98589,0
102738,1
118149,0
109850,0
121506,1
99028,0
104176,1
127376,1
99140,0
90951,1
106471,0
119044,0
85211,1
89909,1
102876,1
97734,1
110432,0
114479,0
128470,0
89845,0
102200,0
99388,0
126186,0
119202,1
91227,1
104085,0
102853,0
127530,0
91935,0
85443,1
121135,0
94024,1
101777,0
90980,0
112675,0
115301,0
125461,0
86930,1
108770,0
118496,0
95851,0
121670,0
120002,0
109276,0
103492,0
99600,1
117528,0
89584,0
124528,0
109982,0
122560,0
113960,0
127967,1
85044,1
124232,1
121906,1
106252,0
119850,0
117830,1
113206,0
85133,1
121665,1
85103,1
103525,0
128319,0
85444,1
86086,1
90455,1
97352,0
114899,0
96398,0
109438,0
127991,0
112132,0
128814,1
104720,0
93420,0
93338,1
128192,1
92035,1
115858,0
127237,1
120348,0
95538,0
110598,0
126515,1
113474,0
122580,1
108229,0
103541,1
110177,0
91759,0
87796,0
123058,0
107214,1
115029,0
121784,1
109730,0
94574,1
91836,0
116162,0
103450,1
126762,0
87190,1
114087,0
105541,0
116068,1
94944,0
106649,0
103476,1
109529,1
91774,0
122577,0
116211,0
122676,1
110656,0
98078,0
91427,0
96217,0
88972,1
96300,1
114735,0
110712,0
94284,0
104539,0
98470,0
122506,0
123713,0
128114,0
92221,0
123667,0
98303,0
127700,0
93598,1
120571,0
129176,0
117354,0
119639,0
100182,0
108794,0
124381,0
102371,0
103790,0
105629,0
113101,0
114328,0
126249,0
127393,0
94072,0
113317,0
111360,0
119399,0
119675,0
123913,0
109711,0
85236,1
112980,0
121862,0
110730,0
107099,0
92890,0
124771,0
89589,0
93165,0
99929,0
88143,1
100039,1
98103,0
117043,0
101756,1
92388,0
99997,0
126765,0
126632,0
93399,0
120058,0
129210,0
115777,0
106671,0
129156,1
99250,0
122933,0
119275,0
86427,1
120287,0
107294,1
92566,0
106736,1
88271,1
118908,0
86806,1
90505,0
125240,0
111146,0
118773,0
99069,0
94523,1
113293,1
103602,0
119810,0
121134,0
102037,0
119000,0
97085,0
85353,1
87421,1
108056,0
121644,0
126516,0
120439,1
118313,1
110649,0
106203,0
97538,0
114287,0
113408,1
109629,0
99898,0
105996,0
125008,1
95551,0
103549,0
115296,1
113131,0
92059,0
96649,0
113190,0
97838,1
120540,0
113592,1
113717,1
119613,0
106151,1
106902,0
92747,0
111844,1
100204,0
105184,1
120753,0
123076,1
119772,1
129422,0
100822,0
103649,0
87430,1
104324,0
114259,0
112411,0
115224,1
90111,0
95004,0
88104,0
117110,0
127364,0
86097,0
96647,0
109305,0
114726,0
129266,0
129049,0
109134,0
127848,1
95883,0
87272,0
86029,1
106936,0
90486,0
93918,0
116233,0
108054,0
124825,0
90148,0
118209,0
114843,0
119991,0
116682,0
105335,1
111299,1
85570,1
106329,0
95961,0
114509,0
122704,1
94372,0
125605,1
100765,1
88960,1
102129,0
111938,1
129068,1
106275,0
96127,0
108415,1
89736,0
106518,0
87981,1
95060,0
90409,0
102429,0
103491,0
111101,1
126949,0
95379,0
126136,1
123054,0
129800,0
103272,0
111649,0
91973,1
87212,1
101584,0
111379,0
101809,0
92562,0
86832,1
118235,0
127063,1
127885,1
88402,1
90845,1
94770,0
100308,0
118870,1
123574,1
126611,0
95713,1
108310,0
89493,1
101255,0
104188,0
89418,1
124981,1
116469,0
102390,0
126544,0
124770,0
120482,0
97547,0
124396,0
124515,1
120888,1
122877,1
85310,1
113870,0
100225,0
126217,1
100154,1
108875,1
106543,0
119954,0
114250,0
116562,0
95199,0
109543,0
104259,1
122199,0
127029,0
92866,0
99802,0
127717,1
110985,0
111593,0
120226,1
103557,0
111418,0
129117,1
121291,0
108007,1
101698,0
86325,1
100325,0
89915,1
123566,1
122259,0
108014,0
123556,1
114230,1
109669,0
100382,0
118320,0
127473,0
92871,0
102704,0
112842,0
86095,0
103775,0
128098,1
106614,1
111912,0
124481,0
91105,0
124260,0
128612,1
110093,0
116685,0
120320,0
114214,1
98270,1
125253,0
99887,1
89372,1
93485,0
117152,0
123232,0
96074,0
117429,1
87651,1
111193,0
120488,0
88526,1
92609,0
85747,0
112218,0
126145,1
103954,0
99476,0
118816,0
95088,1
88938,1
106748,0
116663,0
90800,0
108096,0
95617,1
87579,1
118586,0
88423,1
118165,0
108323,0
97162,0
111303,1
109186,0
92112,1
94883,0
85415,0
111742,0
95607,0
89902,0
101957,1
108759,0
89722,0
87781,1
94329,0
128016,0
109574,1
100061,0
91454,0
93104,0
87743,1
109045,0
99200,0
85202,1
112993,0
128829,0
100263,0
98748,0
99724,0
103259,0
113361,0
102300,0
93956,0
109924,0
117738,0
89273,1
94042,0
122321,0
118489,0
98828,0
107439,0
87156,1
87563,1
100244,1
108952,0
105420,0
117336,0
118012,0
94305,0
114912,1
103052,0
126138,1
97376,0
103240,0
126351,0
86945,1
89587,0
114106,0
117472,0
92304,0
123007,0
116443,0
97152,0
89884,0
97576,0
93253,0
108891,0
125101,0
86588,1
117011,0
97584,0
99059,0
107466,0
89473,1
128260,1
99572,0
95214,0
96081,0
115175,0
106192,0
111774,1
95635,0
89306,1
85543,1
104227,0
93931,0
101412,0
107746,0
101021,0
126781,0
107478,1
87653,1
128060,0
106282,0
107429,1
103241,0
87542,1
129141,0
96428,0
89511,1
104532,0
114518,1
94452,0
98634,1
86539,1
101661,1
101384,1
124539,0
116761,0
114036,0
98653,1
113056,1
98848,0
118844,0
114699,0
98937,0
113108,0
88803,1
94676,0
108243,0
107392,1
115368,1
112480,0
109788,0
110517,1
123448,0
85752,1
123772,1
97506,1
128632,0
86445,1
121289,0
87173,1
85073,1
112281,0
120197,0
95599,0
86936,1
105789,0
96367,0
107264,1
85593,0
123337,0
86777,1
99470,0
117524,0
114916,1
94099,1
84979,0
121218,0
115384,0
126277,0
119934,1
110019,0
126148,0
91332,0
92369,1
118783,0
126264,0
123035,0
90180,0
115026,1
94125,0
93865,0
91122,0
95498,0
108038,1
90547,0
90179,1
120314,0
92368,0
121701,0
87861,1
106792,0
108953,1
119540,1
125690,0
87016,1
101486,1
88704,1
113354,1
90990,1
91621,0
98070,0
123028,1
121328,0
96363,0
115908,0
116142,0
126341,1
96947,1
122247,0
105485,0
115741,0
125119,0
117677,1
121371,0
129340,0
128390,0
121581,1
126072,0
85549,1
102856,0
119438,1
89376,1
106279,0
108101,0
92694,1
124390,1
125225,0
127338,0
129157,1
127791,1
91152,1
113670,0
88553,1
128737,0
100354,1
98772,0
113648,0
124304,0
98145,0
128217,0
115876,0
107289,1
104235,0
103839,1
114160,0
123552,0
112431,1
110667,0
96099,0
108364,0
114802,0
107504,0
112515,0
106396,0
93540,0
94651,0
112222,0
116753,1
92507,0
87536,1
101840,0
99823,1
85276,1
92380,0
121297,0
110401,0
128095,1
122547,0
95929,1
118075,1
105746,0
101600,1
96470,0
99793,0
93071,0
89920,0
111246,1
109760,0
114794,1
103084,0
93501,0
94131,1
118550,0
121613,1
129237,1
86219,1
125246,0
119216,1
108215,1
122106,1
105142,0
104277,0
120203,0
98648,0
98504,1
122821,0
107722,0
127623,0
98723,0
107507,0
121255,0
86081,0
108716,0
85802,1
102740,1
110411,0
97845,0
89795,0
125801,0
117184,0
116333,1
122091,0
102410,0
106700,0
116079,0
122999,0
100470,0
125497,0
98718,0
122120,0
108991,0
100438,0
95462,0
119695,0
128234,0
98631,1
104649,0
109712,1
109027,0
110434,0
100143,0
122266,1
128978,1
86301,1
111229,0
121731,0
126427,1
115566,0
90780,0
125710,0
92853,0
97201,0
115085,0
107505,1
127752,0
105774,0
97970,1
94859,0
107602,0
128983,1
114200,0
117588,1
93947,0
106709,0
109600,0
102610,0
114289,1
125607,0
93095,0
113637,0
95965,0
101767,0
110240,0
129256,1
98338,1
91335,1
101365,1
112475,0
117965,1
92881,0
106021,1
124709,0
93464,0
101209,0
129206,0
100736,0
91033,0
112548,0
108872,1
85122,1
106478,1
89009,1
112670,1
102791,0
123744,1
128643,0
112644,1
98710,0
94290,0
124361,1
119395,0
96558,0
120087,0
129245,0
113710,0
104189,1
93944,0
94180,1
94111,0
108804,0
112766,0
119800,0
116057,0
107433,0
129491,1
90306,0
112722,0
127687,0
98702,0
111731,1
104927,1
111241,1
118955,0
105205,0
127822,0
129160,0
122461,1
123604,0
104096,1
